Snake DQN Training Log - 20251014_141756
==================================================
Grid Size: 15x20
Total Episodes: 50
Final Average Score: 0.18
Best Score: 1
Final Epsilon: 0.0100

Episode Details:
Episode	Score	AvgScore	Epsilon	Reward
--------------------------------------------------
0	0	0.00	1.0000	-1.00
1	0	0.00	0.9092	-1.00
2	0	0.00	0.7783	-1.00
3	0	0.00	0.6337	-1.00
4	0	0.00	0.5790	-1.00
5	0	0.00	0.5083	-1.00
6	0	0.00	0.4786	-1.00
7	0	0.00	0.4484	-1.00
8	0	0.00	0.3651	-1.00
9	0	0.00	0.3353	-1.00
10	1	0.09	0.3033	0.00
11	0	0.08	0.2870	-1.00
12	0	0.08	0.2495	-1.00
13	0	0.07	0.2279	-1.00
14	0	0.07	0.2114	-1.00
15	0	0.06	0.1884	-1.00
16	0	0.06	0.1496	-1.00
17	0	0.06	0.1395	-1.00
18	0	0.05	0.1287	-1.00
19	0	0.05	0.1164	-1.00
20	1	0.10	0.0884	0.00
21	0	0.09	0.0820	-1.00
22	0	0.09	0.0764	-1.00
23	0	0.08	0.0635	-1.00
24	1	0.12	0.0504	0.00
25	0	0.12	0.0477	-1.00
26	0	0.11	0.0427	-1.00
27	1	0.14	0.0280	0.00
28	1	0.17	0.0223	0.00
29	0	0.17	0.0190	-1.00
30	0	0.16	0.0125	-1.00
31	0	0.16	0.0103	-1.00
32	0	0.15	0.0100	-1.00
33	0	0.15	0.0100	-1.00
34	0	0.14	0.0100	-1.00
35	0	0.14	0.0100	-1.00
36	0	0.14	0.0100	-1.00
37	0	0.13	0.0100	-1.00
38	0	0.13	0.0100	-1.00
39	1	0.15	0.0100	0.00
40	0	0.15	0.0100	-1.00
41	0	0.14	0.0100	-1.00
42	0	0.14	0.0100	-1.00
43	1	0.16	0.0100	0.00
44	0	0.16	0.0100	-1.00
45	0	0.15	0.0100	-1.00
46	0	0.15	0.0100	-1.00
47	1	0.17	0.0100	0.00
48	1	0.18	0.0100	0.00
49	0	0.18	0.0100	-1.00
