Snake DQN Training Log - 20251014_171635
==================================================
Grid Size: 15x20
Total Episodes: 1000
Final Average Score: 0.52
Best Score: 20
Final Epsilon: 0.0200

Episode Details:
Episode	Score	AvgScore	Epsilon	Reward
--------------------------------------------------
0	0	0.00	1.0000	-0.01
1	0	0.00	1.0000	-2.74
2	0	0.00	1.0000	2.69
3	0	0.00	0.9995	-0.94
4	0	0.00	0.9910	-2.58
5	0	0.00	0.9802	-2.25
6	0	0.00	0.9724	-1.57
7	0	0.00	0.9451	-2.46
8	0	0.00	0.9319	-1.72
9	0	0.00	0.9121	-0.62
10	0	0.00	0.8820	-1.26
11	1	0.08	0.8663	3.15
12	0	0.08	0.8572	-1.23
13	0	0.07	0.8449	-0.28
14	0	0.07	0.8361	-2.06
15	0	0.06	0.8257	-1.14
16	0	0.06	0.8191	-1.61
17	0	0.06	0.8158	-2.21
18	0	0.05	0.8065	0.02
19	0	0.05	0.7997	-1.35
20	0	0.05	0.7957	-2.16
21	0	0.05	0.7870	-2.64
22	0	0.04	0.7737	-0.27
23	0	0.04	0.7698	-1.35
24	0	0.04	0.7633	-0.56
25	0	0.04	0.7493	-0.83
26	0	0.04	0.7419	0.94
27	0	0.04	0.7272	-3.06
28	0	0.03	0.7135	-0.16
29	0	0.03	0.7036	1.15
30	1	0.06	0.6952	2.43
31	0	0.06	0.6636	-1.14
32	0	0.06	0.6593	-1.50
33	0	0.06	0.6488	-1.92
34	0	0.06	0.6350	0.97
35	1	0.08	0.6169	0.17
36	1	0.11	0.5918	3.87
37	0	0.11	0.5876	-2.48
38	0	0.10	0.5815	-2.49
39	0	0.10	0.5728	-1.67
40	0	0.10	0.5649	-0.03
41	1	0.12	0.5593	1.93
42	1	0.14	0.5395	4.07
43	0	0.14	0.5312	-0.96
44	0	0.13	0.5170	-1.37
45	0	0.13	0.5083	-1.89
46	0	0.13	0.5005	0.25
47	0	0.12	0.4977	-2.73
48	0	0.12	0.4935	0.65
49	0	0.12	0.4906	-2.11
50	0	0.12	0.4718	1.20
51	0	0.12	0.4632	-0.39
52	1	0.13	0.4565	0.78
53	0	0.13	0.4542	-1.75
54	1	0.15	0.4463	4.92
55	0	0.14	0.4414	1.39
56	0	0.14	0.4368	-0.83
57	1	0.16	0.4271	4.06
58	0	0.15	0.4174	-0.82
59	0	0.15	0.3996	1.80
60	1	0.16	0.3968	1.33
61	2	0.19	0.3840	7.09
62	1	0.21	0.3807	-0.37
63	0	0.20	0.3636	1.65
64	1	0.22	0.3564	3.70
65	0	0.21	0.3507	0.47
66	0	0.21	0.3446	1.52
67	0	0.21	0.3390	-2.56
68	0	0.20	0.3343	-0.45
69	0	0.20	0.3259	1.96
70	1	0.21	0.3097	5.04
71	0	0.21	0.3067	0.71
72	0	0.21	0.3028	0.70
73	1	0.22	0.3004	3.01
74	0	0.21	0.2824	1.45
75	1	0.22	0.2800	1.65
76	1	0.23	0.2753	4.27
77	0	0.23	0.2482	3.70
78	0	0.23	0.2470	0.66
79	1	0.24	0.2431	1.89
80	1	0.25	0.2303	3.19
81	0	0.24	0.2261	0.01
82	1	0.25	0.2219	2.64
83	2	0.27	0.2170	8.32
84	1	0.28	0.2110	3.68
85	0	0.28	0.2067	-0.68
86	0	0.28	0.1849	6.73
87	0	0.27	0.1822	-1.04
88	0	0.27	0.1716	2.43
89	1	0.28	0.1696	2.05
90	3	0.31	0.1581	11.24
91	2	0.33	0.1538	7.02
92	1	0.33	0.1515	0.45
93	1	0.34	0.1454	3.45
94	2	0.36	0.1415	5.02
95	1	0.36	0.1400	2.96
96	2	0.38	0.1268	13.26
97	0	0.38	0.1168	6.06
98	0	0.37	0.1146	2.42
99	1	0.38	0.1096	6.48
100	0	0.38	0.1066	2.49
101	2	0.40	0.1033	4.42
102	0	0.40	0.1027	1.10
103	1	0.41	0.1009	4.11
104	1	0.42	0.0994	3.40
105	1	0.43	0.0969	3.35
106	3	0.46	0.0930	12.55
107	1	0.47	0.0915	2.42
108	1	0.48	0.0902	3.99
109	1	0.49	0.0881	7.26
110	2	0.51	0.0853	5.86
111	0	0.50	0.0835	-0.39
112	3	0.53	0.0802	12.50
113	5	0.58	0.0775	16.28
114	1	0.59	0.0750	5.05
115	0	0.59	0.0741	1.26
116	0	0.59	0.0736	2.19
117	5	0.64	0.0672	28.43
118	2	0.66	0.0657	5.51
119	1	0.67	0.0652	2.84
120	3	0.70	0.0621	13.96
121	2	0.72	0.0608	5.41
122	1	0.73	0.0588	6.01
123	2	0.75	0.0567	8.08
124	5	0.80	0.0501	32.49
125	1	0.81	0.0494	2.36
126	0	0.81	0.0491	1.05
127	2	0.83	0.0478	5.61
128	1	0.84	0.0463	2.37
129	1	0.85	0.0458	3.57
130	2	0.86	0.0449	6.44
131	2	0.88	0.0435	8.83
132	0	0.88	0.0425	-0.51
133	0	0.88	0.0419	-1.27
134	0	0.88	0.0417	0.65
135	0	0.87	0.0413	0.89
136	1	0.87	0.0409	2.67
137	0	0.87	0.0399	-0.20
138	4	0.91	0.0375	13.61
139	3	0.94	0.0359	17.82
140	3	0.97	0.0333	13.17
141	3	0.99	0.0319	10.98
142	0	0.98	0.0316	-1.32
143	0	0.98	0.0314	-0.50
144	1	0.99	0.0311	1.87
145	4	1.03	0.0299	14.76
146	0	1.03	0.0294	0.74
147	3	1.06	0.0283	6.90
148	3	1.09	0.0275	10.00
149	1	1.10	0.0270	4.39
150	3	1.13	0.0249	9.08
151	1	1.14	0.0244	3.94
152	2	1.15	0.0233	3.94
153	1	1.16	0.0233	0.73
154	1	1.16	0.0229	6.30
155	1	1.17	0.0227	1.92
156	0	1.17	0.0222	-2.22
157	0	1.16	0.0217	-1.24
158	2	1.18	0.0209	9.55
159	0	1.18	0.0208	1.28
160	2	1.19	0.0202	9.37
161	3	1.20	0.0200	14.71
162	2	1.21	0.0200	4.28
