Snake DQN Training Log - 20251014_214114
==================================================
Grid Size: 15x20
Total Episodes: 3000
Final Average Score: 1.18
Best Score: 14
Final Epsilon: 0.0200

Episode Details:
Episode	Score	AvgScore	Epsilon	Reward
177	5	1.49	0.0200	23.94
178	2	1.51	0.0200	11.26
179	1	1.51	0.0200	-0.79
180	1	1.49	0.0200	4.97
181	0	1.49	0.0200	1.67
182	2	1.51	0.0200	5.05
183	1	1.52	0.0200	1.70
184	0	1.51	0.0200	-1.16
185	3	1.53	0.0200	15.07
186	0	1.53	0.0200	1.73
187	0	1.53	0.0200	2.08
188	5	1.57	0.0200	16.03
189	6	1.62	0.0200	17.07
190	1	1.63	0.0200	2.45
191	5	1.68	0.0200	16.47
192	1	1.68	0.0200	4.53
193	1	1.68	0.0200	1.91
194	1	1.68	0.0200	1.71
195	2	1.70	0.0200	7.91
196	0	1.70	0.0200	2.75
197	1	1.71	0.0200	2.15
198	3	1.74	0.0200	12.29
199	4	1.78	0.0200	14.63
200	7	1.84	0.0200	28.74
201	1	1.85	0.0200	3.87
202	0	1.82	0.0200	5.36
203	2	1.82	0.0200	8.13
204	5	1.87	0.0200	15.22
205	0	1.87	0.0200	-1.87
206	2	1.89	0.0200	6.70
207	0	1.88	0.0200	1.49
208	5	1.93	0.0200	26.66
209	6	1.98	0.0200	23.72
210	1	1.97	0.0200	3.81
211	5	2.02	0.0200	21.44
212	6	2.07	0.0200	28.79
213	2	2.08	0.0200	4.97
214	3	2.10	0.0200	17.85
215	4	2.14	0.0200	18.67
216	2	2.13	0.0200	8.99
217	1	2.12	0.0200	5.85
218	5	2.17	0.0200	18.56
219	7	2.23	0.0200	30.27
220	6	2.28	0.0200	24.33
221	4	2.30	0.0200	18.26
222	5	2.35	0.0200	15.27
223	3	2.36	0.0200	9.38
224	6	2.41	0.0200	26.21
225	5	2.45	0.0200	22.85
226	4	2.48	0.0200	22.59
227	6	2.50	0.0200	33.49
228	0	2.49	0.0200	0.21
229	1	2.49	0.0200	4.14
230	10	2.56	0.0200	42.90
231	5	2.59	0.0200	24.27
232	3	2.59	0.0200	10.26
233	1	2.59	0.0200	4.95
234	8	2.66	0.0200	39.67
235	3	2.68	0.0200	11.28
236	0	2.66	0.0200	0.19
237	4	2.70	0.0200	15.73
238	7	2.77	0.0200	37.17
239	10	2.87	0.0200	48.11
240	7	2.89	0.0200	19.60
241	7	2.95	0.0200	36.32
242	4	2.97	0.0200	17.81
243	5	3.01	0.0200	20.56
244	0	3.00	0.0200	1.62
245	7	3.07	0.0200	26.57
246	5	3.11	0.0200	23.55
247	5	3.14	0.0200	29.35
248	7	3.18	0.0200	38.50
249	5	3.22	0.0200	26.23
250	9	3.28	0.0200	44.62
251	0	3.27	0.0200	2.65
252	5	3.30	0.0200	16.48
253	5	3.29	0.0200	20.12
254	4	3.32	0.0200	10.06
255	7	3.37	0.0200	36.93
256	7	3.42	0.0200	38.73
257	5	3.45	0.0200	23.60
258	5	3.49	0.0200	27.74
259	6	3.55	0.0200	26.43
260	2	3.49	0.0200	6.73
261	14	3.60	0.0200	72.28
262	3	3.63	0.0200	12.91
263	3	3.61	0.0200	13.02
264	6	3.59	0.0200	23.19
265	2	3.60	0.0200	10.03
266	10	3.68	0.0200	49.86
267	3	3.68	0.0200	14.77
268	0	3.67	0.0200	-2.00
269	7	3.70	0.0200	30.74
270	1	3.70	0.0200	4.39
