Snake DQN Training Log - 20251014_142744
==================================================
Grid Size: 15x20
Total Episodes: 1000
Final Average Score: 0.18
Best Score: 6
Final Epsilon: 0.0100

Episode Details:
Episode	Score	AvgScore	Epsilon	Reward
--------------------------------------------------
0	0	0.00	0.9950	-1.00
1	1	0.50	0.8142	0.00
2	0	0.33	0.6630	-1.00
3	0	0.25	0.5480	-1.00
4	0	0.20	0.4395	-1.00
5	0	0.17	0.3320	-1.00
6	0	0.14	0.3018	-1.00
7	0	0.12	0.2610	-1.00
8	0	0.11	0.2190	-1.00
9	0	0.10	0.2072	-1.00
10	0	0.09	0.1971	-1.00
11	0	0.08	0.1662	-1.00
12	0	0.08	0.1381	-1.00
13	0	0.07	0.0958	-1.00
14	0	0.07	0.0906	-1.00
15	0	0.06	0.0796	-1.00
16	0	0.06	0.0712	-1.00
17	0	0.06	0.0619	-1.00
18	0	0.05	0.0571	-1.00
19	0	0.05	0.0544	-1.00
20	0	0.05	0.0497	-1.00
21	0	0.05	0.0454	-1.00
22	1	0.09	0.0421	0.00
23	0	0.08	0.0385	-1.00
24	0	0.08	0.0353	-1.00
25	0	0.08	0.0328	-1.00
26	0	0.07	0.0302	-1.00
27	1	0.11	0.0282	0.00
28	0	0.10	0.0264	-1.00
29	0	0.10	0.0229	-1.00
30	0	0.10	0.0205	-1.00
31	1	0.12	0.0180	0.00
32	0	0.12	0.0155	-1.00
33	0	0.12	0.0148	-1.00
34	0	0.11	0.0128	-1.00
35	0	0.11	0.0117	-1.00
36	0	0.11	0.0100	-1.00
37	0	0.11	0.0100	-1.00
38	0	0.10	0.0100	-1.00
39	0	0.10	0.0100	-1.00
40	1	0.12	0.0100	0.00
41	0	0.12	0.0100	-1.00
42	0	0.12	0.0100	-1.00
43	1	0.14	0.0100	0.00
44	0	0.13	0.0100	-1.00
45	1	0.15	0.0100	0.00
46	0	0.15	0.0100	-1.00
47	1	0.17	0.0100	0.00
48	0	0.16	0.0100	-1.00
49	1	0.18	0.0100	0.00
50	0	0.18	0.0100	-1.00
51	0	0.17	0.0100	-1.00
52	1	0.19	0.0100	0.00
53	0	0.19	0.0100	-1.00
54	0	0.18	0.0100	-1.00
55	1	0.20	0.0100	0.00
56	0	0.19	0.0100	-1.00
57	0	0.19	0.0100	-1.00
58	0	0.19	0.0100	-1.00
59	0	0.18	0.0100	-1.00
60	3	0.23	0.0100	2.00
61	0	0.23	0.0100	-1.00
62	0	0.22	0.0100	-1.00
63	0	0.22	0.0100	-1.00
64	0	0.22	0.0100	-1.00
65	0	0.21	0.0100	-1.00
66	2	0.24	0.0100	1.00
67	0	0.24	0.0100	-1.00
68	0	0.23	0.0100	-1.00
69	0	0.23	0.0100	-1.00
70	1	0.24	0.0100	0.00
71	0	0.24	0.0100	-1.00
72	2	0.26	0.0100	1.00
73	0	0.26	0.0100	-1.00
74	1	0.27	0.0100	0.00
75	1	0.28	0.0100	0.00
76	1	0.29	0.0100	0.00
77	1	0.29	0.0100	0.00
78	0	0.29	0.0100	-1.00
79	0	0.29	0.0100	-1.00
80	1	0.30	0.0100	0.00
81	3	0.33	0.0100	2.00
82	0	0.33	0.0100	-1.00
83	1	0.33	0.0100	0.00
84	0	0.33	0.0100	-1.00
85	0	0.33	0.0100	-1.00
86	2	0.34	0.0100	1.00
87	1	0.35	0.0100	0.00
88	0	0.35	0.0100	-1.00
89	1	0.36	0.0100	0.00
90	2	0.37	0.0100	1.00
91	1	0.38	0.0100	0.00
92	0	0.38	0.0100	-1.00
93	0	0.37	0.0100	-1.00
94	0	0.37	0.0100	-1.00
95	0	0.36	0.0100	-1.00
96	0	0.36	0.0100	-1.00
97	0	0.36	0.0100	-1.00
98	1	0.36	0.0100	0.00
99	1	0.37	0.0100	0.00
100	0	0.37	0.0100	-1.00
101	0	0.36	0.0100	-1.00
102	0	0.36	0.0100	-1.00
103	0	0.36	0.0100	-1.00
104	1	0.37	0.0100	0.00
105	0	0.37	0.0100	-1.00
106	0	0.37	0.0100	-1.00
107	1	0.38	0.0100	0.00
108	0	0.38	0.0100	-1.00
109	0	0.38	0.0100	-1.00
110	1	0.39	0.0100	0.00
111	1	0.40	0.0100	0.00
112	1	0.41	0.0100	0.00
113	0	0.41	0.0100	-1.00
114	0	0.41	0.0100	-1.00
115	0	0.41	0.0100	-1.00
116	0	0.41	0.0100	-1.00
117	0	0.41	0.0100	-1.00
118	0	0.41	0.0100	-1.00
119	0	0.41	0.0100	-1.00
120	0	0.41	0.0100	-1.00
121	0	0.41	0.0100	-1.00
122	0	0.40	0.0100	-1.00
123	1	0.41	0.0100	0.00
124	1	0.42	0.0100	0.00
125	1	0.43	0.0100	0.00
126	0	0.43	0.0100	-1.00
127	0	0.42	0.0100	-1.00
128	1	0.43	0.0100	0.00
129	0	0.43	0.0100	-1.00
130	1	0.44	0.0100	0.00
131	2	0.45	0.0100	1.00
132	0	0.45	0.0100	-1.00
133	0	0.45	0.0100	-1.00
134	0	0.45	0.0100	-1.00
135	1	0.46	0.0100	0.00
136	1	0.47	0.0100	0.00
137	0	0.47	0.0100	-1.00
138	0	0.47	0.0100	-1.00
139	0	0.47	0.0100	-1.00
140	0	0.46	0.0100	-1.00
141	0	0.46	0.0100	-1.00
142	0	0.46	0.0100	-1.00
143	1	0.46	0.0100	0.00
144	1	0.47	0.0100	0.00
145	0	0.46	0.0100	-1.00
146	0	0.46	0.0100	-1.00
147	0	0.45	0.0100	-1.00
148	1	0.46	0.0100	0.00
149	0	0.45	0.0100	-1.00
150	0	0.45	0.0100	-1.00
151	1	0.46	0.0100	0.00
152	0	0.45	0.0100	-1.00
153	0	0.45	0.0100	-1.00
154	0	0.45	0.0100	-1.00
155	1	0.45	0.0100	0.00
156	0	0.45	0.0100	-1.00
157	1	0.46	0.0100	0.00
158	0	0.46	0.0100	-1.00
159	0	0.46	0.0100	-1.00
160	3	0.46	0.0100	2.00
161	1	0.47	0.0100	0.00
162	3	0.50	0.0100	2.00
163	1	0.51	0.0100	0.00
164	2	0.53	0.0100	1.00
165	1	0.54	0.0100	0.00
166	4	0.56	0.0100	3.00
167	0	0.56	0.0100	-1.00
168	1	0.57	0.0100	0.00
169	1	0.58	0.0100	0.00
170	3	0.60	0.0100	2.00
171	2	0.62	0.0100	1.00
172	1	0.61	0.0100	0.00
173	3	0.64	0.0100	2.00
174	2	0.65	0.0100	1.00
175	0	0.64	0.0100	-1.00
176	2	0.65	0.0100	1.00
177	0	0.64	0.0100	-1.00
178	2	0.66	0.0100	1.00
179	0	0.66	0.0100	-1.00
180	2	0.67	0.0100	1.00
181	1	0.65	0.0100	0.00
182	1	0.66	0.0100	0.00
183	1	0.66	0.0100	0.00
184	1	0.67	0.0100	0.00
185	6	0.73	0.0100	5.00
186	1	0.72	0.0100	0.00
187	0	0.71	0.0100	-1.00
188	2	0.73	0.0100	1.00
189	0	0.72	0.0100	-1.00
190	0	0.70	0.0100	-1.00
191	1	0.70	0.0100	0.00
192	0	0.70	0.0100	-1.00
193	3	0.73	0.0100	2.00
194	2	0.75	0.0100	1.00
195	2	0.77	0.0100	1.00
196	0	0.77	0.0100	-1.00
197	0	0.77	0.0100	-1.00
198	1	0.77	0.0100	0.00
199	1	0.77	0.0100	0.00
200	1	0.78	0.0100	0.00
201	1	0.79	0.0100	0.00
202	0	0.79	0.0100	-1.00
203	1	0.80	0.0100	0.00
204	0	0.79	0.0100	-1.00
205	3	0.82	0.0100	2.00
206	0	0.82	0.0100	-1.00
207	0	0.81	0.0100	-1.00
